protein_id,contig_id,keywords
NmSA19_13,NmSA19,none
NmSA19_14,NmSA19,none
NmSA19_15,NmSA19,none
NmSA19_16,NmSA19,none
NmSA19_17,NmSA19,none
NmSA19_18,NmSA19,none
NmSA19_19,NmSA19,none
NmSA19_20,NmSA19,none
NmSA19_21,NmSA19,none
NmSA19_22,NmSA19,none
NmSA19_23,NmSA19,none
NmSA19_24,NmSA19,none
NmSA19_25,NmSA19,none
NmSA19_26,NmSA19,none
NmSA19_27,NmSA19,none
NmSA19_28,NmSA19,none
NmSA19_29,NmSA19,none
NmSA19_30,NmSA19,none
NmSA1_1,NmSA1,none
NmSA1_2,NmSA1,none
NmSA1_3,NmSA1,none
NmSA1_4,NmSA1,none
NmSA1_5,NmSA1,none
NmSA1_6,NmSA1,none
NmSA20_1,NmSA20,none
NmSA20_2,NmSA20,none
NmSA20_3,NmSA20,none
NmSA20_4,NmSA20,none
NmSA20_5,NmSA20,none
NmSA20_6,NmSA20,none
NmSA20_7,NmSA20,none
NmSA20_8,NmSA20,none
NmSA20_9,NmSA20,none
NmSA20_10,NmSA20,none
NmSA20_11,NmSA20,none
NmSA20_12,NmSA20,none
NmSA20_13,NmSA20,none
NmSA20_14,NmSA20,none
NmSA20_15,NmSA20,none
NmSA20_16,NmSA20,none
NmSA20_17,NmSA20,none
NmSA21_1,NmSA21,none
NmSA21_2,NmSA21,none
NmSA21_3,NmSA21,none
NmSA21_4,NmSA21,none
NmSA21_5,NmSA21,none
NmSA21_6,NmSA21,none
NmSA21_7,NmSA21,none
NmSA21_8,NmSA21,none
NmSA21_9,NmSA21,none
NmSA21_10,NmSA21,none
NmSA21_11,NmSA21,none
NmSA21_12,NmSA21,none
NmSA21_13,NmSA21,none
NmSA21_14,NmSA21,none
NmSA21_15,NmSA21,none
NmSA21_16,NmSA21,none
NmSA22_1,NmSA22,none
NmSA22_2,NmSA22,none
NmSA22_3,NmSA22,none
NmSA22_4,NmSA22,none
NmSA22_5,NmSA22,none
NmSA22_6,NmSA22,none
NmSA22_7,NmSA22,none
NmSA22_8,NmSA22,none
NmSA22_9,NmSA22,none
NmSA22_10,NmSA22,none
NmSA22_11,NmSA22,none
NmSA22_12,NmSA22,none
NmSA22_13,NmSA22,none
NmSA22_14,NmSA22,none
NmSA22_15,NmSA22,none
NmSA22_16,NmSA22,none
NmSA22_17,NmSA22,none
NmSA22_18,NmSA22,none
NmSA22_19,NmSA22,none
NmSA22_20,NmSA22,none
NmSA22_21,NmSA22,none
NmSA22_22,NmSA22,none
NmSA22_23,NmSA22,none
NmSA22_24,NmSA22,none
NmSA22_25,NmSA22,none
NmSA22_26,NmSA22,none
NmSA22_27,NmSA22,none
NmSA22_28,NmSA22,none
NmSA22_29,NmSA22,none
NmSA22_30,NmSA22,none
NmSA22_31,NmSA22,none
NmSA22_32,NmSA22,none
NmSA22_33,NmSA22,none
NmSA22_34,NmSA22,none
NmSA22_35,NmSA22,none
NmSA22_36,NmSA22,none
NmSA22_37,NmSA22,none
NmSA22_38,NmSA22,none
NmSA22_39,NmSA22,none
NmSA22_40,NmSA22,none
NmSA22_41,NmSA22,none
NmSA22_42,NmSA22,none
NmSA22_43,NmSA22,none
NmSA22_44,NmSA22,none
NmSA22_45,NmSA22,none
NmSA22_46,NmSA22,none
NmSA22_47,NmSA22,none
NmSA22_48,NmSA22,none
NmSA22_49,NmSA22,none
NmSA22_50,NmSA22,none
NmSA22_51,NmSA22,none
NmSA22_52,NmSA22,none
NmSA22_53,NmSA22,none
NmSA23_1,NmSA23,none
NmSA23_2,NmSA23,none
NmSA23_3,NmSA23,none
NmSA23_4,NmSA23,none
NmSA23_5,NmSA23,none
NmSA23_6,NmSA23,none
NmSA23_7,NmSA23,none
NmSA23_8,NmSA23,none
NmSA23_9,NmSA23,none
NmSA23_10,NmSA23,none
NmSA23_11,NmSA23,none
NmSA23_12,NmSA23,none
NmSA23_13,NmSA23,none
NmSA23_14,NmSA23,none
NmSA23_15,NmSA23,none
NmSA23_16,NmSA23,none
NmSA23_17,NmSA23,none
NmSA23_18,NmSA23,none
NmSA23_19,NmSA23,none
NmSA23_20,NmSA23,none
NmSA23_21,NmSA23,none
NmSA23_22,NmSA23,none
NmSA23_23,NmSA23,none
NmSA23_24,NmSA23,none
NmSA23_25,NmSA23,none
NmSA23_26,NmSA23,none
NmSA23_27,NmSA23,none
NmSA23_28,NmSA23,none
NmSA23_29,NmSA23,none
NmSA23_30,NmSA23,none
NmSA23_31,NmSA23,none
NmSA23_32,NmSA23,none
NmSA23_33,NmSA23,none
NmSA23_34,NmSA23,none
NmSA23_35,NmSA23,none
NmSA23_36,NmSA23,none
NmSA23_37,NmSA23,none
NmSA23_38,NmSA23,none
NmSA23_39,NmSA23,none
NmSA23_40,NmSA23,none
NmSA23_41,NmSA23,none
NmSA23_42,NmSA23,none
NmSA23_43,NmSA23,none
NmSA23_44,NmSA23,none
NmSA23_45,NmSA23,none
NmSA23_46,NmSA23,none
NmSA23_47,NmSA23,none
NmSA23_48,NmSA23,none
NmSA23_49,NmSA23,none
NmSA23_50,NmSA23,none
NmSA23_51,NmSA23,none
NmSA23_52,NmSA23,none
NmSA23_53,NmSA23,none
NmSA23_54,NmSA23,none
NmSA24_1,NmSA24,none
NmSA24_2,NmSA24,none
NmSA24_3,NmSA24,none
NmSA24_4,NmSA24,none
NmSA24_5,NmSA24,none
NmSA25_1,NmSA25,none
NmSA25_2,NmSA25,none
NmSA25_3,NmSA25,none
NmSA25_4,NmSA25,none
NmSA25_5,NmSA25,none
NmSA25_6,NmSA25,none
NmSA25_7,NmSA25,none
NmSA25_8,NmSA25,none
NmSA25_9,NmSA25,none
NmSA25_10,NmSA25,none
NmSA25_11,NmSA25,none
NmSA25_12,NmSA25,none
NmSA26_1,NmSA26,none
NmSA26_2,NmSA26,none
NmSA26_3,NmSA26,none
NmSA26_4,NmSA26,none
NmSA26_5,NmSA26,none
NmSA26_6,NmSA26,none
NmSA26_7,NmSA26,none
NmSA26_8,NmSA26,none
NmSA26_9,NmSA26,none
NmSA26_10,NmSA26,none
NmSA26_11,NmSA26,none
NmSA26_12,NmSA26,none
NmSA26_13,NmSA26,none
NmSA26_14,NmSA26,none
NmSA26_15,NmSA26,none
NmSA26_16,NmSA26,none
NmSA26_17,NmSA26,none
NmSA26_18,NmSA26,none
NmSA26_19,NmSA26,none
NmSA26_20,NmSA26,none
NmSA26_21,NmSA26,none
NmSA26_22,NmSA26,none
NmSA26_23,NmSA26,none
NmSA26_24,NmSA26,none
NmSA26_25,NmSA26,none
NmSA26_26,NmSA26,none
NmSA27_1,NmSA27,none
NmSA27_2,NmSA27,none
NmSA27_3,NmSA27,none
NmSA27_4,NmSA27,none
NmSA27_5,NmSA27,none
NmSA27_6,NmSA27,none
NmSA27_7,NmSA27,none
NmSA27_8,NmSA27,none
NmSA27_9,NmSA27,none
NmSA27_10,NmSA27,none
NmSA27_11,NmSA27,none
NmSA27_12,NmSA27,none
NmSA27_13,NmSA27,none
NmSA27_14,NmSA27,none
NmSA27_15,NmSA27,none
NmSA27_16,NmSA27,none
NmSA27_17,NmSA27,none
NmSA27_18,NmSA27,none
NmSA27_19,NmSA27,none
NmSA27_20,NmSA27,none
NmSA27_21,NmSA27,none
NmSA27_22,NmSA27,none
NmSA27_23,NmSA27,none
NmSA27_24,NmSA27,none
NmSA27_25,NmSA27,none
NmSA27_26,NmSA27,none
NmSA27_27,NmSA27,none
NmSA27_28,NmSA27,none
NmSA27_29,NmSA27,none
NmSA27_30,NmSA27,none
NmSA27_31,NmSA27,none
NmSA27_32,NmSA27,none
NmSA27_33,NmSA27,none
NmSA27_34,NmSA27,none
NmSA27_35,NmSA27,none
NmSA27_36,NmSA27,none
NmSA27_37,NmSA27,none
NmSA27_38,NmSA27,none
NmSA27_39,NmSA27,none
NmSA27_40,NmSA27,none
NmSA27_41,NmSA27,none
NmSA27_42,NmSA27,none
NmSA27_43,NmSA27,none
NmSA27_44,NmSA27,none
NmSA27_45,NmSA27,none
NmSA27_46,NmSA27,none
NmSA27_47,NmSA27,none
NmSA27_48,NmSA27,none
NmSA27_49,NmSA27,none
NmSA27_50,NmSA27,none
NmSA27_51,NmSA27,none
NmSA27_52,NmSA27,none
NmSA27_53,NmSA27,none
NmSA27_54,NmSA27,none
NmSA27_55,NmSA27,none
NmSA28_1,NmSA28,none
NmSA28_2,NmSA28,none
NmSA28_3,NmSA28,none
NmSA28_4,NmSA28,none
NmSA28_5,NmSA28,none
NmSA28_6,NmSA28,none
NmSA28_7,NmSA28,none
NmSA28_8,NmSA28,none
NmSA28_9,NmSA28,none
NmSA28_10,NmSA28,none
NmSA28_11,NmSA28,none
NmSA28_12,NmSA28,none
NmSA28_13,NmSA28,none
NmSA28_14,NmSA28,none
NmSA28_15,NmSA28,none
NmSA28_16,NmSA28,none
NmSA28_17,NmSA28,none
NmSA28_18,NmSA28,none
NmSA28_19,NmSA28,none
NmSA28_20,NmSA28,none
NmSA28_21,NmSA28,none
NmSA28_22,NmSA28,none
NmSA28_23,NmSA28,none
NmSA28_24,NmSA28,none
NmSA28_25,NmSA28,none
NmSA28_26,NmSA28,none
NmSA28_27,NmSA28,none
NmSA28_28,NmSA28,none
NmSA28_29,NmSA28,none
NmSA28_30,NmSA28,none
NmSA28_31,NmSA28,none
NmSA29_1,NmSA29,none
NmSA29_2,NmSA29,none
NmSA29_3,NmSA29,none
NmSA29_4,NmSA29,none
NmSA29_5,NmSA29,none
NmSA29_6,NmSA29,none
NmSA29_7,NmSA29,none
NmSA29_8,NmSA29,none
NmSA29_9,NmSA29,none
NmSA29_10,NmSA29,none
NmSA29_11,NmSA29,none
NmSA29_12,NmSA29,none
NmSA29_13,NmSA29,none
NmSA29_14,NmSA29,none
NmSA29_15,NmSA29,none
NmSA29_16,NmSA29,none
NmSA29_17,NmSA29,none
NmSA29_18,NmSA29,none
NmSA29_19,NmSA29,none
NmSA29_20,NmSA29,none
NmSA29_21,NmSA29,none
NmSA29_22,NmSA29,none
NmSA29_23,NmSA29,none
NmSA29_24,NmSA29,none
NmSA29_25,NmSA29,none
NmSA29_26,NmSA29,none
NmSA29_27,NmSA29,none
NmSA29_28,NmSA29,none
NmSA29_29,NmSA29,none
NmSA29_30,NmSA29,none
NmSA29_31,NmSA29,none
NmSA29_32,NmSA29,none
NmSA29_33,NmSA29,none
NmSA2_1,NmSA2,none
NmSA2_2,NmSA2,none
NmSA2_3,NmSA2,none
NmSA2_4,NmSA2,none
NmSA2_5,NmSA2,none
NmSA2_6,NmSA2,none
NmSA2_7,NmSA2,none
NmSA2_8,NmSA2,none
NmSA2_9,NmSA2,none
NmSA2_10,NmSA2,none
NmSA2_11,NmSA2,none
NmSA2_12,NmSA2,none
NmSA2_13,NmSA2,none
NmSA2_14,NmSA2,none
NmSA2_15,NmSA2,none
NmSA2_16,NmSA2,none
NmSA2_17,NmSA2,none
NmSA2_18,NmSA2,none
NmSA30_1,NmSA30,none
NmSA30_2,NmSA30,none
NmSA30_3,NmSA30,none
NmSA30_4,NmSA30,none
NmSA30_5,NmSA30,none
NmSA30_6,NmSA30,none
NmSA30_7,NmSA30,none
NmSA30_8,NmSA30,none
NmSA30_9,NmSA30,none
NmSA30_10,NmSA30,none
NmSA30_11,NmSA30,none
NmSA30_12,NmSA30,none
NmSA30_13,NmSA30,none
NmSA30_14,NmSA30,none
NmSA30_15,NmSA30,none
NmSA30_16,NmSA30,none
NmSA30_17,NmSA30,none
NmSA30_18,NmSA30,none
NmSA30_19,NmSA30,none
NmSA30_20,NmSA30,none
NmSA30_21,NmSA30,none
NmSA31_1,NmSA31,none
NmSA31_2,NmSA31,none
NmSA31_3,NmSA31,none
NmSA31_4,NmSA31,none
NmSA31_5,NmSA31,none
NmSA31_6,NmSA31,none
NmSA31_7,NmSA31,none
NmSA31_8,NmSA31,none
NmSA31_9,NmSA31,none
NmSA31_10,NmSA31,none
NmSA31_11,NmSA31,none
NmSA31_12,NmSA31,none
NmSA31_13,NmSA31,none
NmSA31_14,NmSA31,none
NmSA31_15,NmSA31,none
NmSA31_16,NmSA31,none
NmSA31_17,NmSA31,none
NmSA31_18,NmSA31,none
NmSA31_19,NmSA31,none
NmSA31_20,NmSA31,none
NmSA31_21,NmSA31,none
NmSA31_22,NmSA31,none
NmSA31_23,NmSA31,none
NmSA31_24,NmSA31,none
NmSA31_25,NmSA31,none
NmSA31_26,NmSA31,none
NmSA31_27,NmSA31,none
NmSA31_28,NmSA31,none
NmSA31_29,NmSA31,none
NmSA31_30,NmSA31,none
NmSA31_31,NmSA31,none
NmSA32_1,NmSA32,none
NmSA32_2,NmSA32,none
NmSA32_3,NmSA32,none
NmSA32_4,NmSA32,none
NmSA33_1,NmSA33,none
NmSA33_2,NmSA33,none
NmSA33_3,NmSA33,none
NmSA33_4,NmSA33,none
NmSA33_5,NmSA33,none
NmSA33_6,NmSA33,none
NmSA33_7,NmSA33,none
NmSA33_8,NmSA33,none
NmSA33_9,NmSA33,none
NmSA33_10,NmSA33,none
NmSA33_11,NmSA33,none
NmSA33_12,NmSA33,none
NmSA34_1,NmSA34,none
NmSA34_2,NmSA34,none
NmSA34_3,NmSA34,none
NmSA34_4,NmSA34,none
NmSA34_5,NmSA34,none
NmSA35_1,NmSA35,none
NmSA35_2,NmSA35,none
NmSA35_3,NmSA35,none
NmSA35_4,NmSA35,none
NmSA35_5,NmSA35,none
NmSA35_6,NmSA35,none
NmSA35_7,NmSA35,none
NmSA35_8,NmSA35,none
NmSA35_9,NmSA35,none
NmSA35_10,NmSA35,none
NmSA35_11,NmSA35,none
NmSA35_12,NmSA35,none
NmSA35_13,NmSA35,none
NmSA35_14,NmSA35,none
NmSA35_15,NmSA35,none
NmSA35_16,NmSA35,none
NmSA35_17,NmSA35,none
NmSA35_18,NmSA35,none
NmSA35_19,NmSA35,none
NmSA35_20,NmSA35,none
NmSA35_21,NmSA35,none
NmSA35_22,NmSA35,none
NmSA35_23,NmSA35,none
NmSA35_24,NmSA35,none
NmSA35_25,NmSA35,none
NmSA35_26,NmSA35,none
NmSA35_27,NmSA35,none
NmSA35_28,NmSA35,none
NmSA35_29,NmSA35,none
NmSA35_30,NmSA35,none
NmSA35_31,NmSA35,none
NmSA35_32,NmSA35,none
NmSA35_33,NmSA35,none
NmSA35_34,NmSA35,none
NmSA35_35,NmSA35,none
NmSA35_36,NmSA35,none
NmSA35_37,NmSA35,none
NmSA36_1,NmSA36,none
NmSA36_2,NmSA36,none
NmSA36_3,NmSA36,none
NmSA36_4,NmSA36,none
NmSA36_5,NmSA36,none
NmSA36_6,NmSA36,none
NmSA36_7,NmSA36,none
NmSA36_8,NmSA36,none
NmSA37_1,NmSA37,none
NmSA37_2,NmSA37,none
NmSA37_3,NmSA37,none
NmSA37_4,NmSA37,none
NmSA37_5,NmSA37,none
NmSA37_6,NmSA37,none
NmSA37_7,NmSA37,none
NmSA37_8,NmSA37,none
NmSA37_9,NmSA37,none
NmSA37_10,NmSA37,none
NmSA37_11,NmSA37,none
NmSA37_12,NmSA37,none
NmSA37_13,NmSA37,none
NmSA37_14,NmSA37,none
NmSA37_15,NmSA37,none
NmSA37_16,NmSA37,none
NmSA37_17,NmSA37,none
NmSA37_18,NmSA37,none
NmSA37_19,NmSA37,none
NmSA37_20,NmSA37,none
NmSA38_1,NmSA38,none
NmSA38_2,NmSA38,none
NmSA38_3,NmSA38,none
NmSA38_4,NmSA38,none
NmSA38_5,NmSA38,none
NmSA38_6,NmSA38,none
NmSA38_7,NmSA38,none
NmSA38_8,NmSA38,none
NmSA38_9,NmSA38,none
NmSA39_1,NmSA39,none
NmSA39_2,NmSA39,none
NmSA39_3,NmSA39,none
NmSA39_4,NmSA39,none
NmSA39_5,NmSA39,none
NmSA39_6,NmSA39,none
NmSA39_7,NmSA39,none
NmSA39_8,NmSA39,none
NmSA3_1,NmSA3,none
NmSA3_2,NmSA3,none
NmSA3_3,NmSA3,none
NmSA3_4,NmSA3,none
NmSA3_5,NmSA3,none
NmSA3_6,NmSA3,none
NmSA3_7,NmSA3,none
NmSA3_8,NmSA3,none
NmSA3_9,NmSA3,none
NmSA3_10,NmSA3,none
NmSA3_11,NmSA3,none
NmSA40_1,NmSA40,none
NmSA40_2,NmSA40,none
NmSA40_3,NmSA40,none
NmSA40_4,NmSA40,none
NmSA40_5,NmSA40,none
NmSA40_6,NmSA40,none
NmSA40_7,NmSA40,none
NmSA40_8,NmSA40,none
NmSA40_9,NmSA40,none
NmSA40_10,NmSA40,none
NmSA40_11,NmSA40,none
NmSA40_12,NmSA40,none
NmSA40_13,NmSA40,none
NmSA40_14,NmSA40,none
NmSA40_15,NmSA40,none
NmSA40_16,NmSA40,none
NmSA40_17,NmSA40,none
NmSA40_18,NmSA40,none
NmSA40_19,NmSA40,none
NmSA40_20,NmSA40,none
NmSA40_21,NmSA40,none
NmSA40_22,NmSA40,none
NmSA40_23,NmSA40,none
NmSA40_24,NmSA40,none
NmSA40_25,NmSA40,none
NmSA40_26,NmSA40,none
NmSA40_27,NmSA40,none
NmSA40_28,NmSA40,none
NmSA40_29,NmSA40,none
NmSA40_30,NmSA40,none
NmSA40_31,NmSA40,none
NmSA40_32,NmSA40,none
NmSA40_33,NmSA40,none
NmSA40_34,NmSA40,none
NmSA40_35,NmSA40,none
NmSA40_36,NmSA40,none
NmSA40_37,NmSA40,none
NmSA40_38,NmSA40,none
NmSA40_39,NmSA40,none
NmSA40_40,NmSA40,none
NmSA40_41,NmSA40,none
NmSA40_42,NmSA40,none
NmSA40_43,NmSA40,none
NmSA40_44,NmSA40,none
NmSA40_45,NmSA40,none
NmSA40_46,NmSA40,none
NmSA40_47,NmSA40,none
NmSA40_48,NmSA40,none
NmSA40_49,NmSA40,none
NmSA40_50,NmSA40,none
NmSA41_1,NmSA41,none
NmSA41_2,NmSA41,none
NmSA41_3,NmSA41,none
NmSA41_4,NmSA41,none
NmSA41_5,NmSA41,none
NmSA41_6,NmSA41,none
NmSA41_7,NmSA41,none
NmSA41_8,NmSA41,none
NmSA41_9,NmSA41,none
NmSA41_10,NmSA41,none
NmSA41_11,NmSA41,none
NmSA41_12,NmSA41,none
NmSA41_13,NmSA41,none
NmSA41_14,NmSA41,none
NmSA41_15,NmSA41,none
NmSA41_16,NmSA41,none
NmSA41_17,NmSA41,none
NmSA41_18,NmSA41,none
NmSA42_1,NmSA42,none
NmSA42_2,NmSA42,none
NmSA42_3,NmSA42,none
NmSA42_4,NmSA42,none
NmSA42_5,NmSA42,none
NmSA43_1,NmSA43,none
NmSA43_2,NmSA43,none
NmSA43_3,NmSA43,none
NmSA43_4,NmSA43,none
NmSA43_5,NmSA43,none
NmSA43_6,NmSA43,none
NmSA43_7,NmSA43,none
NmSA43_8,NmSA43,none
NmSA43_9,NmSA43,none
NmSA43_10,NmSA43,none
NmSA43_11,NmSA43,none
NmSA43_12,NmSA43,none
NmSA43_13,NmSA43,none
NmSA43_14,NmSA43,none
NmSA44_1,NmSA44,none
NmSA44_2,NmSA44,none
NmSA44_3,NmSA44,none
NmSA44_4,NmSA44,none
NmSA44_5,NmSA44,none
NmSA44_6,NmSA44,none
NmSA44_7,NmSA44,none
NmSA44_8,NmSA44,none
NmSA44_9,NmSA44,none
NmSA44_10,NmSA44,none
NmSA44_11,NmSA44,none
NmSA44_12,NmSA44,none
NmSA44_13,NmSA44,none
NmSA44_14,NmSA44,none
NmSA44_15,NmSA44,none
NmSA44_16,NmSA44,none
NmSA44_17,NmSA44,none
NmSA44_18,NmSA44,none
NmSA44_19,NmSA44,none
NmSA44_20,NmSA44,none
NmSA44_21,NmSA44,none
NmSA44_22,NmSA44,none
NmSA44_23,NmSA44,none
NmSA44_24,NmSA44,none
NmSA44_25,NmSA44,none
NmSA44_26,NmSA44,none
NmSA44_27,NmSA44,none
